Matricula,Algoritmos,CalculoI,GeometriaAnalitica,Situação
18010529,0,0,1,Evadido
18010953,1,1,1,Evadido
18010013,1,1,0,Formado
18010746,1,1,1,Formado
18010865,0,1,1,Evadido
18010588,1,0,0,Evadido
18010254,0,1,0,Evadido
18010961,1,0,1,Formado
18010354,1,0,1,Evadido
18010861,0,1,1,Evadido
18010414,1,0,1,Evadido
18010226,0,1,1,Evadido
18010993,1,0,1,Formado
18010184,1,1,0,Formado
18010766,1,0,1,Formado
18010935,0,0,1,Evadido
18010950,0,0,0,Evadido
18010703,1,1,1,Formado
18010412,0,0,1,Evadido
18010613,0,1,1,Formado
18010600,1,1,0,Formado
18010647,0,0,0,Evadido
18010398,1,0,0,Formado
18010926,1,1,0,Formado
18010350,0,0,0,Evadido
18010100,0,1,1,Evadido
18010292,1,0,1,Evadido
18010451,1,0,0,Formado
18010147,1,1,0,Formado
18010933,0,0,1,Evadido
18010823,1,0,1,Formado
18010868,0,0,0,Evadido
18010173,0,0,1,Evadido
18010280,0,1,0,Evadido
18010065,0,1,1,Formado
18010719,1,1,0,Formado
18010949,1,1,0,Formado
18010245,0,0,0,Evadido
18010690,0,0,0,Evadido
18010004,0,0,1,Evadido
18010703,1,0,0,Evadido
18010832,0,1,1,Evadido
18010258,0,1,1,Evadido
18010724,1,1,0,Formado
18010438,1,1,1,Formado
18010513,1,0,1,Formado
18010493,0,0,1,Evadido
18010456,0,1,1,Evadido
18010105,0,1,0,Evadido
18010871,1,1,1,Formado
18010270,0,0,0,Evadido
18010092,0,1,1,Evadido
18010848,0,1,0,Evadido
18010571,1,1,1,Formado
18010258,0,0,0,Evadido
18010097,1,0,0,Formado
18010037,0,0,1,Evadido
18010398,1,0,0,Formado
18010134,0,0,0,Evadido
18010373,1,1,0,Formado
18010116,0,0,0,Evadido
18010198,1,1,0,Formado
18010389,1,0,1,Formado
18010375,1,0,1,Formado
18010385,1,1,0,Formado
18010315,1,0,0,Formado
18010736,1,1,0,Formado
18010587,0,1,0,Evadido
18010028,1,1,1,Formado
18010132,1,1,1,Formado
18010793,0,1,0,Evadido
18010372,0,0,0,Evadido
18010647,0,0,1,Evadido
18010160,1,0,0,Formado
18010081,1,0,0,Formado
18010113,1,0,1,Formado
18010276,1,1,0,Formado
18010798,1,0,0,Evadido
18010360,0,0,1,Evadido
18010946,0,0,1,Evadido
18010332,0,0,1,Evadido
18010691,0,0,1,Evadido
18010776,1,0,0,Formado
18010958,1,0,0,Formado
18010560,1,0,0,Formado
18010800,0,0,0,Evadido
18010758,0,0,0,Evadido
18010804,1,0,1,Evadido
18010411,1,1,0,Formado
18010966,0,0,0,Evadido
18010389,1,0,0,Evadido
18010881,1,1,1,Formado
18010325,0,1,0,Evadido
18010705,0,1,0,Evadido
18010306,1,0,0,Formado
18010713,0,0,1,Evadido
18010593,1,0,1,Formado
18010195,1,1,1,Formado
18010187,1,0,1,Evadido
18010618,0,0,0,Evadido
18010702,0,1,1,Evadido
18010811,0,1,0,Evadido
18010682,1,1,0,Formado
18010319,1,0,1,Evadido
18010207,1,1,1,Formado
18010025,0,0,0,Evadido
18010437,0,1,1,Evadido
18010403,0,0,0,Evadido
18010996,0,1,1,Evadido
18010297,1,1,0,Formado
18010524,0,1,1,Evadido
18010971,0,0,0,Evadido
18010841,1,0,1,Formado
18010289,1,0,1,Formado
18010831,0,0,1,Evadido
18010082,1,1,0,Formado
18010783,1,1,0,Formado
18010404,1,0,0,Evadido
18010754,0,1,1,Evadido
18010858,0,0,1,Evadido
18010313,0,0,0,Evadido
18010225,0,1,1,Formado
18010290,1,1,0,Formado
18010133,1,1,0,Formado
18010470,0,0,1,Evadido
